"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","租户管理","添加企业微信部门与saas租户的mapping关系","0","0","1","0","0"
"","线下拜访","查看拜访详情","0","0","1","0","0"
"","代表管理","进入代表管理模块主页","1","0","0","0","0"
"","客户管理","进入客户管理模块主页","0","0","1","0","0"
"","内容管理","按企业名称查询","0","0","1","0","0"
"","代表管理","查看详情","0","0","1","0","0"
"","客户管理","翻页","0","0","1","0","0"
"","租户管理","获取企业微信一级部门列表","0","0","2","0","0"
"","租户管理","按企业名称查询","0","0","1","0","0"
"","内容管理","代表发送按钮功能","0","0","1","0","0"
"","内容管理","打开客户按钮","1","0","0","0","0"
"","租户管理","用户管理主页-查询","0","0","1","0","0"
"","代表管理","客户管理按钮","0","0","1","0","0"
"","模板管理","翻页","0","0","1","0","0"
"","模板管理","获取模板控件列表","0","0","1","0","0"
"","内容管理","转发用户按钮","1","0","0","0","0"
"","转化客户","翻页","0","0","1","0","0"
"","线下拜访","获取拜访列表","0","0","1","0","0"
"","内容管理","浏览客户按钮","1","0","0","0","0"
"","内容管理","收到客户按钮","1","0","0","0","0"
"","模板管理","获取控件类型列表","0","0","1","0","0"
"","租户管理","停用租户","0","0","1","0","0"
"","内容管理","未发送代表按钮","0","0","1","0","0"
"","模板管理","获取模板的列表","0","1","0","0","0"
"","模板管理","查看开通的功能列表","0","0","1","0","0"
"","代表管理","翻页","0","0","1","0","0"
"","转化客户","进入转化用户管理模块主页","1","0","0","0","0"
"","租户管理","进入用户管理主页","0","0","1","0","0"
"","租户管理","获取租户下拉绑定列表","0","0","1","0","0"
"","转化客户","按企业名称查询","0","0","1","0","0"
"","客户管理","按企业名称+手机号查询","0","0","1","0","0"
"","内容管理","进入内容管理模块主页","0","0","1","0","0"
"","内容管理","转化用户浏览按钮","0","0","1","0","0"
"","租户管理","翻页","0","0","1","0","0"
"","线下拜访","翻页","0","0","1","0","0"
"","用户管理","获取拜访列表","0","0","1","0","0"
"","模板管理","获取全部功能列表","0","0","1","0","0"
"","租户管理","启用租户","0","0","1","0","0"
"","代表管理","按企业名称+手机号查询","0","0","1","0","0"
"","内容管理","翻页功能","0","0","1","0","0"
